subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.8262910798122066,0.6464328635420081,0.610540526103657
S11,417,0.9856115107913669,0.9841269841269842,0.9769445455648587
S13,417,0.8345323741007195,0.6637168141592921,0.6198810465014133
S14,417,0.6738609112709832,0.6373042886317223,0.5627104377104377
S15,418,0.8732057416267942,0.7526963495575222,0.7583358625427613
S16,415,0.7156626506024096,0.6446666666666666,0.5754470722506869
S17,426,0.784037558685446,0.8400751329954869,0.767136240179557
S2,395,0.850632911392405,0.8644562335918863,0.8218516114108333
S3,401,0.8403990024937655,0.8053889613211647,0.784743651505352
S4,404,0.8316831683168316,0.7020559020559021,0.6930793811511142
S5,414,0.8429951690821256,0.6666666666666666,0.6253968253968254
S6,412,0.8349514563106796,0.6596820985397011,0.6187592453152619
S7,411,0.8126520681265207,0.6341312320348895,0.6006310795571332
S8,412,0.9029126213592233,0.7953869047619048,0.8244170096021947
S9,411,1.0,1.0,1.0
